Key,Description,en,ko
vehicleConfig_equipButton,Equip the selected item,Equip,장착
vehicleConfig_detachButton,Detach the current item,Detach,분리
vehicleConfig_previous,,Previous,이전
vehicleConfig_next,,Next,다음
vehicleConfig_availableEquipment,,"Available
equipment","장착 가능 
장비 목록"
vehicleConfig_scroll,,Scroll,스크롤
vehicleConfig_symmetry,,Symmetry,좌우 대칭
vehicleConfig_symmetryButton,,Toggle symmetry,좌우 대칭 전환
vehicleConfig_load,,Load,불러오기
vehicleConfig_save,,Save,저장하기
vehicleConfig_saveNew,,Save new...,새로 저장...
vehicleConfig_overwrite,,Overwrite,덮어쓰기
vehicleConfig_delete,,Delete,삭제하기
500L Fuel Drop Tank_fullName,Full equip name of: 500L Fuel Drop Tank,500L Fuel Drop Tank,500L 외부 연료 탱크
500L Fuel Drop Tank_description,Item description of: 500L Fuel Drop Tank,A 500 liter fuel tank.,500L 연료 탱크입니다.
AIM-9E Sidewinder x2_fullName,Full equip name of: AIM-9E Sidewinder x2,AIM-9E Sidewinder x2,AIM-9E 사이드와인더 x2
AIM-9E Sidewinder x2_description,Item description of: AIM-9E Sidewinder x2,"A rack of two AIM-9E. An older short range, rear-aspect, heat seeking air to air missile.",AIM-9E 2발 랙입니다. 후방에서만 조준할 수 있는 구형 단거리 열추적 공대공 미사일입니다.
eqSublabel_IR,HUD sub-label of an equip,IR,IR
ON,,ON,ON
OFF,,OFF,OFF
irml_seekMode,Option title for IR missiles' heat-seeking mode,SEEK MODE,추적 모드
irml_trigUncage,"Option title for IR missiles' seeker to be uncaged by the trigger (trigger uncage, shortened for UI space).",TRIG UNCAGE,TRIG UNCAGE
s_seekerMode_0,Label for heatseeker mode,Caged,고정
s_seekerMode_1,Label for heatseeker mode,Uncaged,시커 해제
s_seekerMode_2,Label for heatseeker mode,Vertical Scan,수직 스캔
s_seekerMode_3,Label for heatseeker mode,Head Track,시야 추적
s_seekerMode_4,Label for heatseeker mode,Hard Lock,하드 록
Hydra-70 x19 Rocket Pod_fullName,Full equip name of: Hydra-70 x19 Rocket Pod,Hydra-70 x19 Rocket Pod,Hydra-70 x19 로켓 포드
Hydra-70 x19 Rocket Pod_description,Item description of: Hydra-70 x19 Rocket Pod,"A pod carrying a total of 19 high explosive rockets.  Can be fired in single shot mode, or rapid fire (ripple).",19발의 고폭 로켓을 탑재한 포드입니다. 단발 또는 연속 발사가 가능합니다.
eqSublabel_ROCKET,HUD sub-label of an equip,ROCKET,로켓
s_rocket_salvo,Rocket launcher salvo option,SALVO,SALVO
M62 Vulcan 20mm_fullName,Full equip name of: M62 Vulcan 20mm,M62 Vulcan 20mm,M62 발칸 20mm
M62 Vulcan 20mm_description,Item description of: M62 Vulcan 20mm,A modern 20mm rotary cannon.,현대식 20mm 회전식 기관포입니다.
eqSublabel_CANNON,HUD sub-label of an equip,CANNON,기관포
ASF-SRM x2_fullName,Full equip name of: ASF-SRM x2,ASF-SRM x2,ASF-SRM x2
ASF-SRM x2_description,Item description of: ASF-SRM x2,A rack of two standard heat-seeking anti-air missiles.,표준형 열추적 대공 미사일 2발입니다.
RG25 Twin Revolving Cannons_fullName,Full equip name of: RG25 Twin Revolving Cannons,RG25 Twin Revolving Cannons,RG25 이중 총열 리볼버 기관포
RG25 Twin Revolving Cannons_description,Item description of: RG25 Twin Revolving Cannons,Twin 25mm revolving cannons.,이중 총열 25mm 리볼버 기관포입니다.
AIM-7 SARH Missile_fullName,Full equip name of: AIM-7 SARH Missile,AIM-7 SARH Missile,AIM-7 반능동 레이더 미사일
AIM-7 SARH Missile_description,Item description of: AIM-7 SARH Missile,An older semi-active radar guided medium range air to air missile. The missile requires a radar lock from launch until impact.,구형 중거리 공대공 미사일입니다. 반능동 레이더 유도 방식이라 발사 후에도 명중할 때까지 기체 레이더로 계속 조준을 유지해야 합니다.
eqSublabel_SARH-AAM,HUD sub-label of an equip,SARH AAM,SARH AAM
WR-25 Rocket Pod_fullName,Full equip name of: WR-25 Rocket Pod,WR-25 Rocket Pod,WR-25 로켓 포드
WR-25 Rocket Pod_description,Item description of: WR-25 Rocket Pod,A hexagonal pod carrying 25 unguided rockets.,25발의 무유도 로켓을 탑재한 육각형 로켓 포드입니다.
ASMRM-7 x1_fullName,Full equip name of: ASMRM-7 x1,ASMRM-7 x1,ASMRM-7 x1
ASMRM-7 x1_description,Item description of: ASMRM-7 x1,Medium range radar guided air to air missile.,중거리 레이더 유도 공대공 미사일입니다.
Mk-82 Bomb x3_fullName,Full equip name of: Mk-82 Bomb x3,Mk-82 Bomb x3,Mk-82 폭탄 x3
Mk-82 Bomb x3_description,Item description of: Mk-82 Bomb x3,Standard un-guided 500lb bombs.,표준형 무유도 500파운드 폭탄입니다.
eqSublabel_BOMB,HUD sub-label of an equip,BOMB,폭탄
bombRack_releaseArea,An option for bomb weapons - how wide of a target area to automatically release bombs in.,RELEASE AREA,투하 반경
SALVO,,SALVO,SALVO
bomb_lowG,"HUD label shown when aircraft is under low or negative g-forces, preventing bomb release.","LOW G
NO RELEASE","G 낮음
투하 불가"
s_ccrpAuto,,CCRP AUTO,CCRP 자동
AIRS-T Advanced SRM x2_fullName,Full equip name of: AIRS-T Advanced SRM x2,AIRS-T Advanced SRM x2,AIRS-T 첨단 단거리 미사일 x2
AIRS-T Advanced SRM x2_description,Item description of: AIRS-T Advanced SRM x2,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.
Advanced technology allows it to intercept incoming missiles.","추력 편향 기술을 갖춘 단거리 열추적 공대공 미사일입니다.
기동성, 사거리, 기만 장비 대응 능력이 향상되었습니다.
날아오는 미사일을 요격할 수도 있습니다."
Conformal Fuel Tank_fullName,Full equip name of: Conformal Fuel Tank,Conformal Fuel Tank,일체형 연료 탱크
Conformal Fuel Tank_description,Item description of: Conformal Fuel Tank,A modification that allows the aircraft to hold an extra 6400L of fuel.,기체에 6400L의 연료를 추가로 탑재할 수 있게 하는 개조 장비입니다.
AGM-88 ARM_fullName,Full equip name of: AGM-88 ARM,AGM-88 ARM,AGM-88 대레이더 미사일
AGM-88 ARM_description,Item description of: AGM-88 ARM,Medium range anti-radiation missile.,중거리 대레이더 미사일입니다.
eqSublabel_ARM,HUD sub-label of an equip,ARM,ARM
AGM-65 x3_fullName,Full equip name of: AGM-65 x3,AGM-65 x3,AGM-65 x3
AGM-65 x3_description,Item description of: AGM-65 x3,"A medium range optically guided ""fire-and-forget"" anti-tank missile.",중거리 광학 유도 대전차 미사일입니다. 발사 후에는 알아서 목표를 향해 유도됩니다(발사 후 망각).
eqSublabel_OPTICAL-FF,HUD sub-label of an equip,OPTICAL FF,OPTICAL FF
AUTO,,AUTO,자동
MANUAL,,MANUAL,수동
oml_uncageMode,Option title for optical missiles' seeker uncage mode (unlocking from the forward aiming position).,UNCAGE MODE,UNCAGE MODE
oml_noTgp,Optical AGM is selected but there is no TGP attached,NO TGP,TGP 없음
AN/AAQ-28 Targeting Pod_fullName,Full equip name of: AN/AAQ-28 Targeting Pod,AN/AAQ-28 Targeting Pod,AN/AAQ-28 조준 포드
AN/AAQ-28 Targeting Pod_description,Item description of: AN/AAQ-28 Targeting Pod,Sensor pod for acquiring and tracking targets using optics and lasers.  A necessary component for certain guided missiles.,광학 장비와 레이저로 목표를 포착하고 추적하는 센서 포드입니다. 일부 유도 미사일에 반드시 필요한 장비입니다.
GAU-22 Redeemer 25mm_fullName,Full equip name of: GAU-22 Redeemer 25mm,GAU-22 Redeemer 25mm,GAU-22 리디머 25mm
GAU-22 Redeemer 25mm_description,Item description of: GAU-22 Redeemer 25mm,"A 4-barrel 25mm rotary cannon.
Rate of fire: 3300 RPM","4총열 25mm 회전식 기관포입니다.
발사 속도: 3300 RPM"
MK-82AIR x32_fullName,Full equip name of: MK-82AIR x32,MK-82AIR x32,MK-82AIR x32
MK-82AIR x32_description,Item description of: MK-82AIR x32,A rack of 32 MK-82AIR high drag bombs.,MK-82AIR 고항력 폭탄 32발입니다.
GBU-12 Laser Guided Bomb_fullName,Full equip name of: GBU-12 Laser Guided Bomb,GBU-12 Laser Guided Bomb,GBU-12 레이저 유도 폭탄
GBU-12 Laser Guided Bomb_description,Item description of: GBU-12 Laser Guided Bomb,A 500lb laser guided bomb.,500파운드 레이저 유도 폭탄입니다.
eqSublabel_LASER-BOMB,HUD sub-label of an equip,LASER BOMB,레이저 폭탄
lgb_targetMode,Option title for laser guided bombs' targeting mode.,TARGET MODE,목표 모드
s_LOAL,Lock on after launch HUD label for laser bomb,LOAL,LOAL
s_lgbMode_0,Laser guided bomb targeting mode,LASER,레이저
s_lgbMode_1,Laser guided bomb targeting mode,DUMB,무유도
AGM-65_fullName,Full equip name of: AGM-65,AGM-65,AGM-65
AGM-65_description,Item description of: AGM-65,"A medium range optically guided ""fire-and-forget"" anti-tank missile.",중거리 광학 유도 대전차 미사일입니다. 발사 후에는 알아서 목표를 향해 유도됩니다(발사 후 망각).
CBU-97 Bomb x1_fullName,Full equip name of: CBU-97 Bomb x1,CBU-97 Bomb x1,CBU-97 폭탄 x1
CBU-97 Bomb x1_description,Item description of: CBU-97 Bomb x1,A smart cluster bomb that fires 40 explosively shaped armor penetrators at targets.,40개의 성형작약 관통탄을 목표에 발사하는 스마트 확산탄입니다.
eqSublabel_CLUSTER-BOMB,HUD sub-label of an equip,CLUSTER BOMB,확산탄
s_cbuAlt,HUD when below submunition deploy altitude of cluster bomb,BELOW CBU ALT,BELOW CBU ALT
M230 Chain Gun_fullName,Full equip name of: M230 Chain Gun,M230 Chain Gun,M230 체인 건
M230 Chain Gun_description,Item description of: M230 Chain Gun,A single-barrel 30mm automatic cannon mounted on a gimbal. The gimbal will be locked forward above a certain airspeed.,짐벌에 장착된 단총열 30mm 자동 기관포입니다. 일정 속도 이상에서는 짐벌이 전방으로 고정됩니다.
eqSublabel_CANNON-GIMBAL,HUD sub-label of an equip,CANNON GIMBAL,기관포 짐벌
gunTurret_locked,Label for when a gun turret is set to be locked in the forward-aiming position.,LOCKED,고정
gunTurret_slaved,Label for wh en a gun turret is set to be controlled by (slaved to) an external sensor.,SLAVED,연동
gunTurret_gimbal,Option title for gun turrets' gimbal (rotation/aiming) to be locked or slaved.,GIMBAL,짐벌
gunTurret_speedlock,Label when gun turret is locked due to overspeed,SPEEDLOCK,속도 잠김
AIRS-T Advanced SRM x3_fullName,Full equip name of: AIRS-T Advanced SRM x3,AIRS-T Advanced SRM x3,AIRS-T 첨단 단거리 미사일 x3
AIRS-T Advanced SRM x3_description,Item description of: AIRS-T Advanced SRM x3,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.
Advanced technology allows it to intercept incoming missiles.","추력 편향 기술을 갖춘 단거리 열추적 공대공 미사일입니다.
기동성, 사거리, 기만 장비 대응 능력이 향상되었습니다.
날아오는 미사일을 요격할 수도 있습니다."
AGM-145 Ballista x4_fullName,Full equip name of: AGM-145 Ballista x4,AGM-145 Ballista x4,AGM-145 발리스타 x4
AGM-145 Ballista x4_description,Item description of: AGM-145 Ballista x4,"Small anti-tank missiles with advanced optics, ""fire and forget"", and smart self-targeting technology. Can be fired without line of sight to the designated target point, and will acquire hostile targets automatically.","고성능 광학 장비와 발사 후 알아서 유도되는 '발사 후 망각' 기능, 스마트 자동 조준 기술을 갖춘 소형 대전차 미사일입니다. 지정한 목표 지점이 보이지 않아도 발사할 수 있으며, 적 목표를 자동으로 포착합니다."
eqSublabel_OPTICAL-FAF,HUD sub-label of an equip,OPTICAL FAF,OPTICAL FAF
tutName_Hover Tutorial,Name of a legacy tutorial objective,Hover Tutorial,호버링 튜토리얼
tutDesc_Hover Tutorial,Description of a legacy tutorial,Learn to hover.,호버링하는 법을 배웁니다.
tut:Hover Tutorial:Intro10,A tutorial label,Welcome to the hover tutorial.,호버링 튜토리얼에 오신 것을 환영합니다.
tut:Hover Tutorial:Intro21,A tutorial label,We'll begin with the start-up sequence.,기체 시동 절차부터 시작하겠습니다.
tut:Hover Tutorial:Brake Lock2,A tutorial label,Enable Brake Lock,브레이크 잠금을 겁니다
tut:Hover Tutorial:Enable battery3,A tutorial label,Enable Battery,배터리를 켭니다
tut:Hover Tutorial:start up apu4,A tutorial label,Start APU,APU를 켭니다
tut:Hover Tutorial:wait spool apu5,A tutorial label,Let the APU spool up,APU 회전수가 오를 때까지 기다립니다.
tut:Hover Tutorial:StartLeftEngine6,A tutorial label,Start Left Engine,왼쪽 엔진을 켭니다
tut:Hover Tutorial:StartRightEngine7,A tutorial label,Start Right Engine,오른쪽 엔진을 켭니다.
tut:Hover Tutorial:Flaps8,A tutorial label,Set flaps to full,플랩을 최대로 설정합니다
tut:Hover Tutorial:WaitSpool9,A tutorial label,Wait for the engines to spool up.,엔진 회전수가 안정될 때까지 기다립니다.
tut:Hover Tutorial:NoNeedAPU10,A tutorial label,The engines are now supplying power.  We can turn off the APU.,이제 엔진이 전원을 공급하니 APU를 꺼도 됩니다.
tut:Hover Tutorial:TurnOffAPU11,A tutorial label,Turn off APU.,APU 시동을 끕니다.
tut:Hover Tutorial:EnableHUD12,A tutorial label,Turn on the HUD,HUD 전원을 켭니다.
tut:Hover Tutorial:EnableMFD113,A tutorial label,Turn on the MFDs,MFD 전원을 켭니다.
tut:Hover Tutorial:EnableMFD214,A tutorial label,Turn on the MFDs,MFD 전원을 켭니다.
tut:Hover Tutorial:EnableMFD315,A tutorial label,Turn on the MFDs,MFD 전원을 켭니다.
tut:Hover Tutorial:GrabJoy16,A tutorial label,Grab the joystick.,조종간을 잡으십시오.
tut:Hover Tutorial:GrabThrottle17,A tutorial label,Grab the throttle.,스로틀을 잡으십시오.
tut:Hover Tutorial:SetTilt18,A tutorial label,Set the engine tilt to 90,엔진 틸트 각도를 90으로 설정하십시오
tut:Hover Tutorial:LiftOff19,A tutorial label,Slowly lift the throttle until you take off.,이륙할 때까지 천천히 스로틀을 올리십시오.
tut:Hover Tutorial:MaintainAttitude20,A tutorial label,Try to keep your nose level with the horizon.,기수가 지평선과 수평을 이루도록 유지하십시오.
tut:Hover Tutorial:ClimbAltitude21,A tutorial label,Slowly climb to 100m altitude.,천천히 고도 100m까지 상승하십시오.
tut:Hover Tutorial:Hover22,A tutorial label,Adjust throttle to maintain zero vertical speed.,수직 속도가 0이 되도록 스로틀을 조절하십시오.
tut:Hover Tutorial:CancelLaterals23,A tutorial label,Cancel lateral speed by rolling or pitching slightly in the opposite direction.,이동하는 반대 방향으로 살짝 롤이나 피치를 주어 수평 이동 속도를 없애십시오.
tut:Hover Tutorial:HoldPos24,A tutorial label,Try to hold this position for a few moments.,잠시 동안 이 위치를 유지해 보십시오.
tut:Hover Tutorial:DescendTime25,A tutorial label,Now lets try to land.,이제 착륙을 해 봅시다.
tut:Hover Tutorial:Descend26,A tutorial label,Adjust throttle to slowly descend at about -6 m/s,-6m/s 정도로 천천히 하강하도록 스로틀을 조절하십시오.
tut:Hover Tutorial:PrepareForImpact27,A tutorial label,Throttle up to about -2 m/s,-2m/s 정도가 되도록 스로틀을 올리십시오.
tut:Hover Tutorial:PostLand28,A tutorial label,Throttle down!,스로틀을 내리십시오!
tut:Hover Tutorial:Complete29,A tutorial label,Tutorial complete! Good job!,튜토리얼 완료! 수고하셨습니다!
4000L Fuel Drop Tank_fullName,Full equip name of: 4000L Fuel Drop Tank,4000L Fuel Drop Tank,4000L 외부 연료 탱크
4000L Fuel Drop Tank_description,Item description of: 4000L Fuel Drop Tank,A 4000 liter detachable external fuel tank.,탈착이 가능한 4000L 외부 연료 탱크입니다.
ASF-SRM x1_fullName,Full equip name of: ASF-SRM x1,ASF-SRM x1,ASF-SRM x1
ASF-SRM x1_description,Item description of: ASF-SRM x1,A standard heat-seeking anti-air missile.,표준형 열추적 대공 미사일입니다.
GBU-38 Bomb x2_fullName,Full equip name of: GBU-38 Bomb x2,GBU-38 Bomb x2,GBU-38 폭탄 x2
GBU-38 Bomb x2_description,Item description of: GBU-38 Bomb x2,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,500파운드 GPS 유도 직격 폭탄입니다. Mk.82 폭탄에 유도 장치를 부착한 것입니다.
AIM-9 Sidewinder x2_fullName,Full equip name of: AIM-9 Sidewinder x2,AIM-9 Sidewinder x2,AIM-9 사이드와인더 x2
AIM-9 Sidewinder x2_description,Item description of: AIM-9 Sidewinder x2,A rack of two standard heat-seeking Sidewinder anti-air missiles.,표준형 열추적 사이드와인더 대공 미사일 2발 랙입니다.
eqSublabel_IR-AAM,HUD sub-label of an equip,IR AAM,IR AAM
GBU-38 Bomb x1_fullName,Full equip name of: GBU-38 Bomb x1,GBU-38 Bomb x1,GBU-38 폭탄 x1
GBU-38 Bomb x1_description,Item description of: GBU-38 Bomb x1,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,500파운드 GPS 유도 직격 폭탄입니다. Mk.82 폭탄에 유도 장치를 부착한 것입니다.
menu_back,"General ""back"" button for menus.",Back,뒤로가기
mpmm_members,Title for multiplayer members management menu.,Members,유저
mpmm_toggleMute,Toggle muting player voice,Toggle mute,음소거 전환
mpmm_kick,Kick member button,Kick,추방
mpmm_ban,Ban member button,Ban,밴
mpmm_block,Block member button,Block,차단
scrollbar,UI Scrollbar interactable,Scroll,스크롤
okay,,Okay,확인
cancel,,Cancel,취소
mpmm_inviteMenuButton,Button to open the invite friends menu,Invite friends,친구 초대
mpmm_inviteFriendsTitle,Invite menu title,Invite friends,친구 초대
mpmm_invited,Label to show that a friend has been invited.,Invited,초대됨
mpmm_invite,Button to invite this friend.,Invite,초대
s_cms_rate_single,CMS release rate - single fire mode,Single,단발
s_cms_rMode_0,CMS release mode,Single Auto,단발 자동
s_cms_rMode_1,CMS release mode,Single L,단발 좌측
s_cms_rMode_2,CMS release mode,Single R,단발 우측
s_cms_rMode_3,CMS release mode,Double,동시
tutName_Getting Started,Name of a legacy tutorial objective,Getting Started,시작하기
tutDesc_Getting Started,Description of a legacy tutorial,Complete the intro tutorial.,인트로 튜토리얼을 완료하세요.
tut:Getting Started:Intro10,A tutorial label,Welcome to the AV-42C,AV-42C에 탑승하신 것을 환영합니다.
tut:Getting Started:Intro21,A tutorial label,"First, let's keep the bird from rolling away.",먼저 기체가 굴러가지 않도록 고정합시다.
tut:Getting Started:Brake Lock2,A tutorial label,Enable Brake Lock,브레이크 잠금을 겁니다
tut:Getting Started:Startup3,A tutorial label,Now lets move on to the start-up sequence.,이제 시동 절차를 시작합시다.
tut:Getting Started:Enable battery4,A tutorial label,Enable Battery,배터리를 켭니다.
tut:Getting Started:start up apu5,A tutorial label,Start APU,APU를 켭니다
tut:Getting Started:wait spool apu6,A tutorial label,Let the APU spool up a bit.,APU 회전수가 어느 정도 오를 때까지 기다립니다.
tut:Getting Started:StartLeftEngine7,A tutorial label,Start Left Engine,왼쪽 엔진을 켭니다
tut:Getting Started:StartRightEngine8,A tutorial label,Start Right Engine,오른쪽 엔진을 켭니다
tut:Getting Started:WaitSpool9,A tutorial label,Wait for the engines to spool up.,엔진 회전수가 안정될 때까지 기다립니다
tut:Getting Started:NoNeedAPU10,A tutorial label,The engines are now supplying power.  We can turn off the APU.,이제 엔진이 전원을 공급하니 APU를 꺼도 됩니다
tut:Getting Started:TurnOffAPU11,A tutorial label,Turn off APU.,APU 시동을 끕니다
tut:Getting Started:EnableHUD12,A tutorial label,Turn on the HUD,HUD 전원을 켭니다.
tut:Getting Started:HUDInfo13,A tutorial label,"The HUD (Heads-Up Display) shows you attitude, altitude, velocity, targeting reticles, and other important flight data at a glance.","HUD(헤드업 디스플레이)는 자세, 고도, 속도, 조준선 등 중요한 비행 정보를 한눈에 보여 줍니다."
tut:Getting Started:EnableMFD114,A tutorial label,Turn on the MFD 1,MFD 1을 켭니다.
tut:Getting Started:EnableMFD215,A tutorial label,Turn on the MFD 2,MFD 2를 켭니다.
tut:Getting Started:EnableMFD316,A tutorial label,Turn on the MFD 3,MFD 3을 켭니다.
tut:Getting Started:MFD info17,A tutorial label,The MFDs (Multi-Function Displays) give you access to,MFD(다기능 표시장치)는
tut:Getting Started:MFD info 218,A tutorial label,"aircraft features such as weapon configuration, navigation maps,","무장 설정, 항법 지도, 센서 등"
tut:Getting Started:MFD info 319,A tutorial label,"sensors, etc.  You can access these features by pressing the corresponding buttons around the edge of the monitor.",다양한 기체 기능을 사용할 수 있게 해 줍니다. 화면 가장자리의 버튼을 눌러 각 기능에 접근할 수 있습니다.
tut:Getting Started:ReadyToFly20,A tutorial label,The vehicle is now ready to fly.  Up next: Basic Flight,이제 비행 준비가 끝났습니다. 다음 단계는 기본 비행입니다.
s_endMission_quickload,Label for quickload button in end-mission display 'Quick Load (x mins ago)',Quick Load,빠른 불러오기
s_endMission_dumpedLog,Label for end-mission entry when flight log is saved to disk.,Dumped flight log,비행 기록 저장됨
vpdt_ContinueFlightText,[xxx] tags will be replaced by platform specific controls. Keep them.,"Continue Flight
(Press [menu] to return to this screen)","비행 계속하기
(이 화면으로 돌아오려면 [menu]를 누르십시오)"
hud_noArm,A short HUD label when no weapons are armed.,NO ARM,NO ARM
s_newObj,Objective popup message in HUD,NEW OBJECTIVE,새로운 목표
s_objComplete,Objective popup message in HUD,OBJECTIVE COMPLETE,목표 완료
s_objFailed,Objective popup message in HUD,OBJECTIVE FAILED,목표 실패
commReply_s_comm_reply,A text reply in the communications menu.,REPLY:,답신:
commReply_s_noHostilesFound,A text reply in the communications menu.,No hostiles found.,발견된 적이 없습니다.
commReply_s_awacsNotReady,A text reply in the communications menu.,AWACS is not ready to report.,AWACS가 아직 보고할 수 없습니다.
commReply_s_noAwacsAvailable,A text reply in the communications menu.,No AWACS available,가용한 AWACS 없음
commReply_s_awacsPicRequested,A text reply in the communications menu.,AWACS picture requested,AWACS에 전황 보고 요청함
commReply_s_awacsRequestedRTB,A text reply in the communications menu.,Requested RTB vector from AWACS,AWACS에 귀환 벡터 요청함
s_hostile,Prefix for AWACS bogey dope response,Hostile,적군
commReply_s_rearmingNotAvailable,A text reply in the communications menu.,Rearming not available.,재무장 불가
commReply_s_notAtRearmingStation,A text reply in the communications menu.,Not at a rearming station. Return to base.,재무장 구역이 아닙니다. 기지로 귀환하십시오.
commReply_s_turnOffEngines,A text reply in the communications menu.,Please turn off your engines.,엔진을 끄십시오.
commReply_s_disarmWeapons,A text reply in the communications menu.,Please disarm your weapon system.,무기 시스템을 해제하십시오.
commReply_s_unhookTailhook,A text reply in the communications menu.,Please disengage your arrestor hook.,착함 후크를 올리십시오.
commReply_s_rearmPointOccupied,A text reply in the communications menu.,This station is occupied!,이 구역은 이미 사용 중입니다!
commReply_s_taxiToRearm,A text reply in the communications menu.,Please taxi to a rearming station.,재무장 구역으로 활주하여 이동하십시오.
commReply_s_wingmenBusy,A text reply in the communications menu.,Your wingmen are busy.,윙맨이 바쁩니다.
commReply_s_someWingmenBusy,A text reply in the communications menu.,Some of your wingmen are busy.,윙맨 중 일부가 바쁩니다.
commReply_s_noWingmen,A text reply in the communications menu.,You have no wingmen.,윙맨이 없습니다.
