Key,Description,en,korean
s_gbu_mode_0,Targeting mode label for GPS bomb,MANUAL,수동
s_gbu_mode_1,Targeting mode label for GPS bomb,AUTO,자동
s_gbu_mode_2,Targeting mode label for GPS bomb,DUMB,무유도
interactable_button_grip,,Grip,그립
interactable_button_trigger,,Trigger,트리거
vehicleConfig_denyBusy,Denial message for vehicle configurator,BUSY: RELOADING,바쁨: 재무장중
vehicleConfig_invalidReload,Denial message for vehicle configurator,Full reload will be over budget!,전체 무장이 예산범위를 초과 했습니다!
vehicleConfig_totalMass,,Total mass:,총 질량:
vehicleConfig_fuelKnob,,Set fuel,연료 설정
vehicleConfig_flightCost,,Flight cost:,비행 비용:
vehicleConfig_budget,,Budget:,예산:
vehicleConfig_countermeasures,,Countermeasures,기만체
vehicleConfig_flareLabel,,IR Flares,IR 플레어
vehicleConfig_flareKnob,,Set flares,플레어 설정
vehicleConfig_chaffLabel,,ECM Chaff,ECM 체프
vehicleConfig_chaffKnob,,Set chaff,체프 설정
vehicleConfig_repairButton,,Repair,수리
vehicleConfig_repairButtonText,,Repair,수리
vehicleConfig_repairCostLabel,,Repair cost:,수리 비용:
vehicleConfig_equipMass,,Mass:,질량:
vehicleConfig_hardpoint,,Hardpoint,하드포인트
vehicleConfig_none,,None,없음
vehicleConfig_saveLoad,,Save/load,저장/불러오기
vehicleConfig_backButton,Return to previous screen,Back,뒤로가기
equipConfig_noEquips,A label shown in the vehicle configurator when there are no available equipment.,No equipment.,장비 없음
equipConfig_noEquipsDescription,A more descriptive label shown when there is no equipment available.,Equipment for this hardpoint is not yet available.,이 하드포인트에 사용할수있는 장비가 없습니다.
vehicleConfig_equipCost,,Cost:,비용:
vehicleConfig_count,,Count:,수량:
vehicleConfig_fuel,,FUEL,연료
vehicleConfig_equipButton,Equip the selected item,Equip,장착
vehicleConfig_detachButton,Detach the current item,Detach,분리
vehicleConfig_previous,,Previous,이전
vehicleConfig_next,,Next,다음
vehicleConfig_availableEquipment,,"Available
equipment","장착 가능 
장비 목록"
vehicleConfig_scroll,,Scroll,스크롤
vehicleConfig_symmetry,,Symmetry,좌우 대칭
vehicleConfig_symmetryButton,,Toggle symmetry,좌우 대칭 토글
vehicleConfig_load,,Load,불러오기
vehicleConfig_save,,Save,저장하기
vehicleConfig_saveNew,,Save new...,새로운 이름으로 저장하기
vehicleConfig_overwrite,,Overwrite,덮어쓰기
vehicleConfig_delete,,Delete,삭제하기
500L Fuel Drop Tank_fullName,Full equip name of: 500L Fuel Drop Tank,500L Fuel Drop Tank,500L 외부 연료 탱크
500L Fuel Drop Tank_description,Item description of: 500L Fuel Drop Tank,A 500 liter fuel tank.,500L 연료 탱크입니다.
AIM-9E Sidewinder x2_fullName,Full equip name of: AIM-9E Sidewinder x2,AIM-9E Sidewinder x2,AIM-9E 사인드와인더 x2
AIM-9E Sidewinder x2_description,Item description of: AIM-9E Sidewinder x2,"A rack of two AIM-9E. An older short range, rear-aspect, heat seeking air to air missile.",AIM-9E 입니다. 단거리 후방 열 추적이 가능한 오래된 미사일 입니다. 총 2발 입니다.
eqSublabel_IR,HUD sub-label of an equip,IR,열추적
ON,,ON,ON
OFF,,OFF,OFF
irml_seekMode,Option title for IR missiles' heat-seeking mode,SEEK MODE,추적 모드
irml_trigUncage,"Option title for IR missiles' seeker to be uncaged by the trigger (trigger uncage, shortened for UI space).",TRIG UNCAGE,트리거 언케이지
s_seekerMode_0,Label for heatseeker mode,Caged,케이지
s_seekerMode_1,Label for heatseeker mode,Uncaged,언케이지
s_seekerMode_2,Label for heatseeker mode,Vertical Scan,수직 스캔
s_seekerMode_3,Label for heatseeker mode,Head Track,시야 추적
s_seekerMode_4,Label for heatseeker mode,Hard Lock,하드 락
Hydra-70 x19 Rocket Pod_fullName,Full equip name of: Hydra-70 x19 Rocket Pod,Hydra-70 x19 Rocket Pod,Hydra-70 x19 로켓 포드
Hydra-70 x19 Rocket Pod_description,Item description of: Hydra-70 x19 Rocket Pod,"A pod carrying a total of 19 high explosive rockets.  Can be fired in single shot mode, or rapid fire (ripple).",19개의 고폭탄 로켓이 들어있는 발사관 입니다. 단발 사격 또는 속사 사격이 가능합니다.
eqSublabel_ROCKET,HUD sub-label of an equip,ROCKET,로켓
s_rocket_salvo,Rocket launcher salvo option,SALVO,일제 사격
M62 Vulcan 20mm_fullName,Full equip name of: M62 Vulcan 20mm,M62 Vulcan 20mm,M62 발칸 20mm
M62 Vulcan 20mm_description,Item description of: M62 Vulcan 20mm,A modern 20mm rotary cannon.,현대식 20mm 회전식 기관포 입니다.
eqSublabel_CANNON,HUD sub-label of an equip,CANNON,기관포
ASF-SRM x2_fullName,Full equip name of: ASF-SRM x2,ASF-SRM x2,ASF-SRM x2
ASF-SRM x2_description,Item description of: ASF-SRM x2,A rack of two standard heat-seeking anti-air missiles.,표준형 열추적 대공 미사일 2발 입니다.
RG25 Twin Revolving Cannons_fullName,Full equip name of: RG25 Twin Revolving Cannons,RG25 Twin Revolving Cannons,RG25 이중 총열 리볼버 기관포
RG25 Twin Revolving Cannons_description,Item description of: RG25 Twin Revolving Cannons,Twin 25mm revolving cannons.,이중 총열 25mm 리볼버 기관포입니다.
AIM-7 SARH Missile_fullName,Full equip name of: AIM-7 SARH Missile,AIM-7 SARH Missile,AIM-7 반능동 레이더 미사일
AIM-7 SARH Missile_description,Item description of: AIM-7 SARH Missile,An older semi-active radar guided medium range air to air missile. The missile requires a radar lock from launch until impact.,구형 반능동 레이더 유도 중거리 공대공 미사일. 발사 후 명중까지 레이더 유도가 필요한 미사일 입니다.
eqSublabel_SARH-AAM,HUD sub-label of an equip,SARH AAM,반능동 레이더 공대공
WR-25 Rocket Pod_fullName,Full equip name of: WR-25 Rocket Pod,WR-25 Rocket Pod,WR-25 로켓 포드
WR-25 Rocket Pod_description,Item description of: WR-25 Rocket Pod,A hexagonal pod carrying 25 unguided rockets.,25발의 무유도 로켓을 지닌 육각 로켓 포드입니다.
ASMRM-7 x1_fullName,Full equip name of: ASMRM-7 x1,ASMRM-7 x1,ASMRM-7 x1
ASMRM-7 x1_description,Item description of: ASMRM-7 x1,Medium range radar guided air to air missile.,중거리 레이더 유도 공대공 미사일 입니다.
Mk-82 Bomb x3_fullName,Full equip name of: Mk-82 Bomb x3,Mk-82 Bomb x3,Mk-82 폭탄 x3
Mk-82 Bomb x3_description,Item description of: Mk-82 Bomb x3,Standard un-guided 500lb bombs.,표준형 무유도 500 파운드 폭탄 입니다.
eqSublabel_BOMB,HUD sub-label of an equip,BOMB,폭탄
bombRack_releaseArea,An option for bomb weapons - how wide of a target area to automatically release bombs in.,RELEASE AREA,투하 반경
SALVO,,SALVO,SALVO
bomb_lowG,"HUD label shown when aircraft is under low or negative g-forces, preventing bomb release.","LOW G
NO RELEASE","G 낮음
투하 불가"
s_ccrpAuto,,CCRP AUTO,CCRP 자동
AIRS-T Advanced SRM x2_fullName,Full equip name of: AIRS-T Advanced SRM x2,AIRS-T Advanced SRM x2,AIRS-T 첨단 단거리 미사일 x2
AIRS-T Advanced SRM x2_description,Item description of: AIRS-T Advanced SRM x2,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.
Advanced technology allows it to intercept incoming missiles.","추력편향 기술을 갖춘 단거리 열추적 공대공 미사일 입니다.
향상된 기동성, 사거리, 대-재밍 시스템을 갖췄습니다.
다가오는 미사일의 격추가 가능합니다"
Conformal Fuel Tank_fullName,Full equip name of: Conformal Fuel Tank,Conformal Fuel Tank,일체형 연료 탱크
Conformal Fuel Tank_description,Item description of: Conformal Fuel Tank,A modification that allows the aircraft to hold an extra 6400L of fuel.,6400L의 추가 연료를 탑재 할수있는 연료통 입니다.
AGM-88 ARM_fullName,Full equip name of: AGM-88 ARM,AGM-88 ARM,AGM-88 대-레이더 미사일
AGM-88 ARM_description,Item description of: AGM-88 ARM,Medium range anti-radiation missile.,중거리 대-레이더 미사일입니다.
eqSublabel_ARM,HUD sub-label of an equip,ARM,대-레이더
AGM-65 x3_fullName,Full equip name of: AGM-65 x3,AGM-65 x3,AGM-65 x3
AGM-65 x3_description,Item description of: AGM-65 x3,"A medium range optically guided ""fire-and-forget"" anti-tank missile.",중거리 광학 유도 발사 후 망각 대전차 미사일입니다.
eqSublabel_OPTICAL-FF,HUD sub-label of an equip,OPTICAL FF,"광학식
발사 후 망각"
AUTO,,AUTO,자동
MANUAL,,MANUAL,수동
oml_uncageMode,Option title for optical missiles' seeker uncage mode (unlocking from the forward aiming position).,UNCAGE MODE,언케이지 모드
oml_noTgp,Optical AGM is selected but there is no TGP attached,NO TGP,TGP 없음
AN/AAQ-28 Targeting Pod_fullName,Full equip name of: AN/AAQ-28 Targeting Pod,AN/AAQ-28 Targeting Pod,AN/AAQ-28 타겟팅 포드
AN/AAQ-28 Targeting Pod_description,Item description of: AN/AAQ-28 Targeting Pod,Sensor pod for acquiring and tracking targets using optics and lasers.  A necessary component for certain guided missiles.,광학 및 레이저를 사용하여 표적을 획득하고 추적하기위한 센서 포드입니다. 특정 유도 미사일에 필요한 구성입니다.
GAU-22 Redeemer 25mm_fullName,Full equip name of: GAU-22 Redeemer 25mm,GAU-22 Redeemer 25mm,"GAU-22 ""구원자"" 25mm"
GAU-22 Redeemer 25mm_description,Item description of: GAU-22 Redeemer 25mm,"A 4-barrel 25mm rotary cannon.
Rate of fire: 3300 RPM","4베럴 25미리 회전식 기관포입니다.
발사속도: 3300 RPM"
MK-82AIR x32_fullName,Full equip name of: MK-82AIR x32,MK-82AIR x32,MK-82AIR x32
MK-82AIR x32_description,Item description of: MK-82AIR x32,A rack of 32 MK-82AIR high drag bombs.,MK-82AIR 고저항 폭탄 32개입니다.
GBU-12 Laser Guided Bomb_fullName,Full equip name of: GBU-12 Laser Guided Bomb,GBU-12 Laser Guided Bomb,GBU-12 레이저 유도 폭탄
GBU-12 Laser Guided Bomb_description,Item description of: GBU-12 Laser Guided Bomb,A 500lb laser guided bomb.,500 파운드 레이저 유도 폭탄 입니다.
eqSublabel_LASER-BOMB,HUD sub-label of an equip,LASER BOMB,레이저 폭탄
lgb_targetMode,Option title for laser guided bombs' targeting mode.,TARGET MODE,타겟 모드
s_LOAL,Lock on after launch HUD label for laser bomb,LOAL,발사 후 락온
s_lgbMode_0,Laser guided bomb targeting mode,LASER,레이저
s_lgbMode_1,Laser guided bomb targeting mode,DUMB,무유도
AGM-65_fullName,Full equip name of: AGM-65,AGM-65,AGM-65
AGM-65_description,Item description of: AGM-65,"A medium range optically guided ""fire-and-forget"" anti-tank missile.",중거리 광학 유도  발사 후 망각 대전차 미사일입니다.
CBU-97 Bomb x1_fullName,Full equip name of: CBU-97 Bomb x1,CBU-97 Bomb x1,CBU-97 폭탄 x1
CBU-97 Bomb x1_description,Item description of: CBU-97 Bomb x1,A smart cluster bomb that fires 40 explosively shaped armor penetrators at targets.,40개의 성형작약 장갑 관통탄을 발사하는 스마트 집속탄입니다.
eqSublabel_CLUSTER-BOMB,HUD sub-label of an equip,CLUSTER BOMB,집속탄
s_cbuAlt,HUD when below submunition deploy altitude of cluster bomb,BELOW CBU ALT,집속탄 고도 제한 미만
M230 Chain Gun_fullName,Full equip name of: M230 Chain Gun,M230 Chain Gun,M230 체인 건
M230 Chain Gun_description,Item description of: M230 Chain Gun,A single-barrel 30mm automatic cannon mounted on a gimbal. The gimbal will be locked forward above a certain airspeed.,짐벌에 장착된 단포신 30미리 기관포입니다. 일정한 속도 이상에서는 짐벌 회전이 불가능 합니다.
eqSublabel_CANNON-GIMBAL,HUD sub-label of an equip,CANNON GIMBAL,기관포 짐벌
gunTurret_locked,Label for when a gun turret is set to be locked in the forward-aiming position.,LOCKED,고정
gunTurret_slaved,Label for wh en a gun turret is set to be controlled by (slaved to) an external sensor.,SLAVED,제어
gunTurret_gimbal,Option title for gun turrets' gimbal (rotation/aiming) to be locked or slaved.,GIMBAL,짐벌
gunTurret_speedlock,Label when gun turret is locked due to overspeed,SPEEDLOCK,속도 잠김
AIRS-T Advanced SRM x3_fullName,Full equip name of: AIRS-T Advanced SRM x3,AIRS-T Advanced SRM x3,AIRS-T 첨단 단거리 미사일 x3
AIRS-T Advanced SRM x3_description,Item description of: AIRS-T Advanced SRM x3,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.
Advanced technology allows it to intercept incoming missiles.","추력편향 기술을 갖춘 단거리 열추적 공대공 미사일 입니다.
향상된 기동성, 사거리, 대-재밍 시스템을 갖췄습니다.
다가오는 미사일의 격추가 가능합니다"
AGM-145 Ballista x4_fullName,Full equip name of: AGM-145 Ballista x4,AGM-145 Ballista x4,AGM-145 발리스타 x4
AGM-145 Ballista x4_description,Item description of: AGM-145 Ballista x4,"Small anti-tank missiles with advanced optics, ""fire and forget"", and smart self-targeting technology. Can be fired without line of sight to the designated target point, and will acquire hostile targets automatically.","소형 광학 유도 대전차 미사일 입니다. ""발사 후 망각"" 기능과 스마트 목표 추적 기능이 탑제되었습니다. 목표 지점을 보지 않고 발사할 수 있으며, 자동으로 적대적인 대상을 획득합니다."
eqSublabel_OPTICAL-FAF,HUD sub-label of an equip,OPTICAL FAF,"광학식
발사 후 망각"
tutName_Hover Tutorial,Name of a legacy tutorial objective,Hover Tutorial,호버링 튜토리얼
tutDesc_Hover Tutorial,Description of a legacy tutorial,Learn to hover.,호버링 하는 법을  배우십시오.
tut:Hover Tutorial:Intro10,A tutorial label,Welcome to the hover tutorial.,호버링 튜토리얼에 오신 것을 환영합니다.
tut:Hover Tutorial:Intro21,A tutorial label,We'll begin with the start-up sequence.,기체 시동을 거는 것 부터 시작하겠습니다.
tut:Hover Tutorial:Brake Lock2,A tutorial label,Enable Brake Lock,브레이크 잠금을 활성화 합니다
tut:Hover Tutorial:Enable battery3,A tutorial label,Enable Battery,배터리를 활성화 합니다
tut:Hover Tutorial:start up apu4,A tutorial label,Start APU,APU를 킵니다
tut:Hover Tutorial:wait spool apu5,A tutorial label,Let the APU spool up,APU RPM이 오르도록 기다립니다.
tut:Hover Tutorial:StartLeftEngine6,A tutorial label,Start Left Engine,왼쪽 엔진을 킵니다
tut:Hover Tutorial:StartRightEngine7,A tutorial label,Start Right Engine,오른쪽 엔진을 킵니다.
tut:Hover Tutorial:Flaps8,A tutorial label,Set flaps to full,플랩을 최대로 설정 합니다
tut:Hover Tutorial:WaitSpool9,A tutorial label,Wait for the engines to spool up.,엔진 RPM이 안정화 될때 까지 기다립니다.
tut:Hover Tutorial:NoNeedAPU10,A tutorial label,The engines are now supplying power.  We can turn off the APU.,이제 엔진이 전원을 공급하니 APU를 꺼도 됩니다.
tut:Hover Tutorial:TurnOffAPU11,A tutorial label,Turn off APU.,APU 시동을 끕니다.
tut:Hover Tutorial:EnableHUD12,A tutorial label,Turn on the HUD,HUD 전원을 킵니다.
tut:Hover Tutorial:EnableMFD113,A tutorial label,Turn on the MFDs,MFD들의 전원을 킵니다.
tut:Hover Tutorial:EnableMFD214,A tutorial label,Turn on the MFDs,MFD들의 전원을 킵니다.
tut:Hover Tutorial:EnableMFD315,A tutorial label,Turn on the MFDs,MFD들의 전원을 킵니다.
tut:Hover Tutorial:GrabJoy16,A tutorial label,Grab the joystick.,조이스틱을 잡으십시오.
tut:Hover Tutorial:GrabThrottle17,A tutorial label,Grab the throttle.,출력 스로틀을 잡으십시오.
tut:Hover Tutorial:SetTilt18,A tutorial label,Set the engine tilt to 90,엔진 기울기를 90도로 설정하십시오
tut:Hover Tutorial:LiftOff19,A tutorial label,Slowly lift the throttle until you take off.,이륙할때까지 천천히 스토틀을 증가시킵시오.
tut:Hover Tutorial:MaintainAttitude20,A tutorial label,Try to keep your nose level with the horizon.,지평선과 기체가 수평이 되도록 조정하십시오.
tut:Hover Tutorial:ClimbAltitude21,A tutorial label,Slowly climb to 100m altitude.,천천히 100미터 까지 상승하십시오.
tut:Hover Tutorial:Hover22,A tutorial label,Adjust throttle to maintain zero vertical speed.,이제 수직 속도가 0이 되도록 스로틀을 조정하십시오.
tut:Hover Tutorial:CancelLaterals23,A tutorial label,Cancel lateral speed by rolling or pitching slightly in the opposite direction.,기체가 향하는 방향의 반대 방향으로 조정하여 수평 속도가 0이 되도록 하십시오.
tut:Hover Tutorial:HoldPos24,A tutorial label,Try to hold this position for a few moments.,이 위치에서 벗어나지 않도록 해보십시오.
tut:Hover Tutorial:DescendTime25,A tutorial label,Now lets try to land.,"이제,  착륙을 해봅시다."
tut:Hover Tutorial:Descend26,A tutorial label,Adjust throttle to slowly descend at about -6 m/s,-6m/s 정도가 되도록 수직 속도를 스로틀로 조정하십시오.
tut:Hover Tutorial:PrepareForImpact27,A tutorial label,Throttle up to about -2 m/s,이제 -2m/s가 되도록 스로틀을 증가시켜 보십시오.
tut:Hover Tutorial:PostLand28,A tutorial label,Throttle down!,스로틀을 감소시키세요!
tut:Hover Tutorial:Complete29,A tutorial label,Tutorial complete! Good job!,튜토리얼 완료! 수고하셨습니다!
4000L Fuel Drop Tank_fullName,Full equip name of: 4000L Fuel Drop Tank,4000L Fuel Drop Tank,4000L 외부 연료 탱크
4000L Fuel Drop Tank_description,Item description of: 4000L Fuel Drop Tank,A 4000 liter detachable external fuel tank.,탈착이 가능한 4000L 외부 연료 탱크 입니다.
ASF-SRM x1_fullName,Full equip name of: ASF-SRM x1,ASF-SRM x1,ASF-SRM x1
ASF-SRM x1_description,Item description of: ASF-SRM x1,A standard heat-seeking anti-air missile.,표준형 열추적 대공 미사일입니다.
GBU-38 Bomb x2_fullName,Full equip name of: GBU-38 Bomb x2,GBU-38 Bomb x2,GBU-38 폭탄 x2
GBU-38 Bomb x2_description,Item description of: GBU-38 Bomb x2,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,500 파운드 GPS 유도 폭탄 입니다. 추가적 유도 장치가 있는 Mk.82 폭탄입니다.
AIM-9 Sidewinder x2_fullName,Full equip name of: AIM-9 Sidewinder x2,AIM-9 Sidewinder x2,AIM-9 사이드 와인더 x2
AIM-9 Sidewinder x2_description,Item description of: AIM-9 Sidewinder x2,A rack of two standard heat-seeking Sidewinder anti-air missiles.,단거리 열추적 대공 미사일 사이드 와인더 입니다. 2발 장착됩니다.
eqSublabel_IR-AAM,HUD sub-label of an equip,IR AAM,열추적 공대공
GBU-38 Bomb x1_fullName,Full equip name of: GBU-38 Bomb x1,GBU-38 Bomb x1,GBU-38 폭탄 x1
GBU-38 Bomb x1_description,Item description of: GBU-38 Bomb x1,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,500 파운드 GPS 유도 폭탄 입니다. 추가적 유도 장치가 있는 Mk.82 폭탄입니다.
menu_back,"General ""back"" button for menus.",Back,뒤로가기
mpmm_members,Title for multiplayer members management menu.,Members,유저
mpmm_toggleMute,Toggle muting player voice,Toggle mute,뮤트
mpmm_kick,Kick member button,Kick,추방
mpmm_ban,Ban member button,Ban,밴
mpmm_block,Block member button,Block,차단
scrollbar,UI Scrollbar interactable,Scroll,스크롤
okay,,Okay,네
cancel,,Cancel,취소
mpmm_inviteMenuButton,Button to open the invite friends menu,Invite friends,친구 초대
mpmm_inviteFriendsTitle,Invite menu title,Invite friends,친구 초대
mpmm_invited,Label to show that a friend has been invited.,Invited,초대됨
mpmm_invite,Button to invite this friend.,Invite,초대
s_cms_rate_single,CMS release rate - single fire mode,Single,단발
s_cms_rMode_0,CMS release mode,Single Auto,단발 자동
s_cms_rMode_1,CMS release mode,Single L,단발 좌측
s_cms_rMode_2,CMS release mode,Single R,단발 우측
s_cms_rMode_3,CMS release mode,Double,이중
tutName_Getting Started,Name of a legacy tutorial objective,Getting Started,시작하기
tutDesc_Getting Started,Description of a legacy tutorial,Complete the intro tutorial.,인트로 튜토리얼을 완료하세요.
tut:Getting Started:Intro10,A tutorial label,Welcome to the AV-42C,AV-42C에 탑승한걸 환영합니다.
tut:Getting Started:Intro21,A tutorial label,"First, let's keep the bird from rolling away.",먼저 기체가 굴러가는걸 방지합시다.
tut:Getting Started:Brake Lock2,A tutorial label,Enable Brake Lock,브레이크 잠금을 활성화 합니다
tut:Getting Started:Startup3,A tutorial label,Now lets move on to the start-up sequence.,이제 시동 절차로 진입 합시다.
tut:Getting Started:Enable battery4,A tutorial label,Enable Battery,배터리를 활성화 하세요.
tut:Getting Started:start up apu5,A tutorial label,Start APU,APU를 킵니다
tut:Getting Started:wait spool apu6,A tutorial label,Let the APU spool up a bit.,APU RPM이 어느정도 올라가도록 기다립시다.
tut:Getting Started:StartLeftEngine7,A tutorial label,Start Left Engine,왼쪽 엔진을 킵니다
tut:Getting Started:StartRightEngine8,A tutorial label,Start Right Engine,오른쪽 엔진을 킵니다
tut:Getting Started:WaitSpool9,A tutorial label,Wait for the engines to spool up.,엔진 RPM이 안정화 될때 까지 기다립니다
tut:Getting Started:NoNeedAPU10,A tutorial label,The engines are now supplying power.  We can turn off the APU.,이제 엔진이 전원을 공급하니 APU를 꺼도 됩니다
tut:Getting Started:TurnOffAPU11,A tutorial label,Turn off APU.,APU 시동을 끕니다
tut:Getting Started:EnableHUD12,A tutorial label,Turn on the HUD,HUD 전원을 킵니다.
tut:Getting Started:HUDInfo13,A tutorial label,"The HUD (Heads-Up Display) shows you attitude, altitude, velocity, targeting reticles, and other important flight data at a glance.","HUD (헤드-업-디스플레이)는 고도, 방위, 속도, 목표물 등 과 같은 중요한 비행정도를 즉각적으로 볼 수 있게 표시해 줍니다."
tut:Getting Started:EnableMFD114,A tutorial label,Turn on the MFD 1,MFD1 을 키십시오.
tut:Getting Started:EnableMFD215,A tutorial label,Turn on the MFD 2,MFD2 을 키십시오.
tut:Getting Started:EnableMFD316,A tutorial label,Turn on the MFD 3,MFD3 을 키십시오.
tut:Getting Started:MFD info17,A tutorial label,The MFDs (Multi-Function Displays) give you access to,MFD(Multi-Function Displays 다기능 디스플레이)는
tut:Getting Started:MFD info 218,A tutorial label,"aircraft features such as weapon configuration, navigation maps,","무기 설정, 내비게이션 지도, 센서 등"
tut:Getting Started:MFD info 319,A tutorial label,"sensors, etc.  You can access these features by pressing the corresponding buttons around the edge of the monitor.",다양한 기체 설정을 하도록 돕습니다. 이러한 설정은 모니터 주변의 각 버튼을 눌러서 접근할 수 있습니다.
tut:Getting Started:ReadyToFly20,A tutorial label,The vehicle is now ready to fly.  Up next: Basic Flight,이제 기체가 이륙 준비가 되었습니다. 다음은 기본 비행으로 넘어갑시다.
s_endMission_quickload,Label for quickload button in end-mission display 'Quick Load (x mins ago)',Quick Load,빠른 불러오기
s_endMission_dumpedLog,Label for end-mission entry when flight log is saved to disk.,Dumped flight log,비행 기록 저장됨
vpdt_ContinueFlightText,[xxx] tags will be replaced by platform specific controls. Keep them.,"Continue Flight
(Press [menu] to return to this screen)","비행 계속하기
( 이 화면으로 돌아오려면 [menu]를 누르십시오 )"
hud_noArm,A short HUD label when no weapons are armed.,NO ARM,무장 해제
s_newObj,Objective popup message in HUD,NEW OBJECTIVE,새로운 임무 목표
s_objComplete,Objective popup message in HUD,OBJECTIVE COMPLETE,임무 완료
s_objFailed,Objective popup message in HUD,OBJECTIVE FAILED,임무 실패
commReply_s_comm_reply,A text reply in the communications menu.,REPLY:,답신:
commReply_s_noHostilesFound,A text reply in the communications menu.,No hostiles found.,적군 발견 못함
commReply_s_awacsNotReady,A text reply in the communications menu.,AWACS is not ready to report.,조기경보기 준비 중
commReply_s_noAwacsAvailable,A text reply in the communications menu.,No AWACS available,조기경보기 없음
commReply_s_awacsPicRequested,A text reply in the communications menu.,AWACS picture requested,조기경보기에게 전황 보고 요청
commReply_s_awacsRequestedRTB,A text reply in the communications menu.,Requested RTB vector from AWACS,조기경보기에게 기지 귀환 벡터 요청
s_hostile,Prefix for AWACS bogey dope response,Hostile,적군
commReply_s_rearmingNotAvailable,A text reply in the communications menu.,Rearming not available.,재무장 불가
commReply_s_notAtRearmingStation,A text reply in the communications menu.,Not at a rearming station. Return to base.,재무장 스테이션이 아님. 기지로 귀환하십시오.
commReply_s_turnOffEngines,A text reply in the communications menu.,Please turn off your engines.,엔진을 끄십시오.
commReply_s_disarmWeapons,A text reply in the communications menu.,Please disarm your weapon system.,무기 시스템을 해제하십시오.
commReply_s_unhookTailhook,A text reply in the communications menu.,Please disengage your arrestor hook.,어레스팅 후크를 올리십시오.
commReply_s_rearmPointOccupied,A text reply in the communications menu.,This station is occupied!,이 스테이션은 이미 사용중입니다!
commReply_s_taxiToRearm,A text reply in the communications menu.,Please taxi to a rearming station.,재무장 스테이션으로 이동하십시오.
commReply_s_wingmenBusy,A text reply in the communications menu.,Your wingmen are busy.,윙맨이 바쁩니다.
commReply_s_someWingmenBusy,A text reply in the communications menu.,Some of your wingmen are busy.,당신의 윙맨 중 일부는 바쁩니다.
commReply_s_noWingmen,A text reply in the communications menu.,You have no wingmen.,윙맨이 없습니다.
